IR,QC,QD,Tavg,Tmin,Tmax,chargetime,cycle,battery_id,cycle_life,C1,Q1,C2,Temperature_Range,Normalized_IR,Cycle_Percentage,Charge_Discharge_Ratio
0.016742354,1.0710422,1.0706892,31.875010776448963,29.56613,35.652016,13.341250000000006,2,b1c0,1190.0,3.6,80.0,3.6,6.085886000000002,0.3360668982792696,2.4691358024691357,0.9996704144804004
0.016724309,1.0716741,1.0719005,31.931490327663376,29.604385,35.692978,13.42577666666666,3,b1c0,1190.0,3.6,80.0,3.6,6.088592999999996,0.3182930530612418,3.7037037037037033,1.000211258254725
0.016681245,1.0723044,1.0725095,31.93260348,29.744202,35.680588,13.425166666666671,4,b1c0,1190.0,3.6,80.0,3.6,5.936385999999999,0.27587615805048665,4.938271604938271,1.0001912703146607
0.016661867,1.07297,1.073174,31.95932155887516,29.644709,35.728691,13.34144166666665,5,b1c0,1190.0,3.6,80.0,3.6,6.083981999999999,0.25678934327437547,6.172839506172839,1.0001901264713833
0.016623382,1.0734913,1.0735761,31.96106185480935,29.752932,35.711758,13.34083499999997,6,b1c0,1190.0,3.6,80.0,3.6,5.958826000000002,0.2188826415167819,7.4074074074074066,1.000078994585238
0.016599579,1.073922,1.0739917,31.9005621,29.564377,35.61565,13.34019833333332,7,b1c0,1190.0,3.6,80.0,3.6,6.051273000000002,0.19543731939294295,8.641975308641975,1.0000649022927177
0.016576905,1.0741584,1.0743741,31.92166784685496,29.62863,35.546783,13.425441666666666,8,b1c0,1190.0,3.6,80.0,3.6,5.918152999999997,0.17310403225115634,9.876543209876543,1.0002008083723966
0.016588196,1.0743366,1.0744922,31.87008232007076,29.597345,35.539406,13.42519000000005,9,b1c0,1190.0,3.6,80.0,3.6,5.942060999999999,0.18422536704510142,11.11111111111111,1.0001448335651972
0.016572181,1.0743531,1.0745373,31.84105267610617,29.687315,35.499729,13.42563333333334,10,b1c0,1190.0,3.6,80.0,3.6,5.812414,0.16845101785326347,12.345679012345679,1.0001714520114477
0.016564831,1.0746447,1.0747814,31.811381731685728,29.509727,35.486984,13.340996666666737,11,b1c0,1190.0,3.6,80.0,3.6,5.977256999999998,0.16121146327568017,13.580246913580247,1.0001272048333743
0.016629694,1.0710218,1.0738269,31.54120747,29.126949,35.399788,13.341906666666668,13,b1c0,1190.0,3.6,80.0,3.6,6.272839000000001,0.2250997936927979,16.049382716049383,1.002619087678701
0.016623681,1.0734307,1.0750562,31.554487467264536,29.173849,35.361366,13.425951666666515,14,b1c0,1190.0,3.6,80.0,3.6,6.187516999999996,0.21917714856694703,17.28395061728395,1.001514303624817
0.016606225,1.0745616,1.0730921,31.60416723916967,29.232649,35.380379,13.425368333333363,15,b1c0,1190.0,3.6,80.0,3.6,6.147729999999999,0.2019834526885366,18.51851851851852,0.9986324655561859
0.016644137,1.0752127,1.0758405,31.626640685333328,29.425863,35.396084,13.341238333333362,16,b1c0,1190.0,3.6,80.0,3.6,5.970221000000002,0.23932576468110195,19.753086419753085,1.0005838844723467
0.016638549,1.0735142,1.072405,31.56672500361993,29.445898,35.421181,13.461158333333394,17,b1c0,1190.0,3.6,80.0,3.6,5.9752829999999975,0.23382173325531383,20.98765432098765,0.9989667579618416
0.016635945,1.075841,1.0761998,31.610988598720265,29.336567,35.421665,13.428950000000135,18,b1c0,1190.0,3.6,80.0,3.6,6.085097999999999,0.23125686249068442,22.22222222222222,1.0003335065311694
0.016622188,1.075995,1.0761871,31.563843511353305,29.438148,35.282478,13.42597666666649,19,b1c0,1190.0,3.6,80.0,3.6,5.844329999999996,0.21770658326295456,23.456790123456788,1.0001785324281247
0.016603719,1.0751143,1.0764284,31.581725207111127,29.490742,35.215897,13.35776333333318,20,b1c0,1190.0,3.6,80.0,3.6,5.725154999999997,0.19951510931827543,24.691358024691358,1.0012222886441002
0.016579002,1.07526,1.0765469,31.56066323885912,29.550705,35.270439,13.44267000000012,21,b1c0,1190.0,3.6,80.0,3.6,5.7197340000000025,0.17516952149594398,25.925925925925924,1.00119682681398
0.016562166,1.076412,1.0766536,31.60815390070921,29.576149,35.203217,13.34155166666654,22,b1c0,1190.0,3.6,80.0,3.6,5.627068000000001,0.15858650913292477,27.160493827160494,1.0002244493744032
0.016565233,1.0764353,1.0766355,31.644954582887834,29.417404,35.17334,13.42555999999992,23,b1c0,1190.0,3.6,80.0,3.6,5.755936000000002,0.1616074225872705,28.39506172839506,1.0001859842389043
0.016568111,1.0765072,1.0754509,31.606933999116603,29.331137,35.262707,13.42548667,24,b1c0,1190.0,3.6,80.0,3.6,5.931570000000001,0.1644421760667664,29.629629629629626,0.9990187710774253
0.016572051,1.0764282,1.0766494,31.61624455135141,29.268419,35.29155,13.341149999999956,25,b1c0,1190.0,3.6,80.0,3.6,6.023130999999999,0.16832297130971682,30.864197530864196,1.000205494430562
0.016596386,1.0763686,1.076545,31.51765399645071,29.161713,35.25309,13.341895000000171,26,b1c0,1190.0,3.6,80.0,3.6,6.091377000000001,0.19229229928869618,32.098765432098766,1.0001638843793847
0.016587147,1.075214,1.0765674,31.514766877424968,29.115284,35.272129,13.358211666666708,27,b1c0,1190.0,3.6,80.0,3.6,6.156845000000001,0.1831921299360019,33.33333333333333,1.0012587261698602
0.0165787,1.0763866,1.0765301,31.526239499999964,29.154787,35.241489,13.34183833333324,28,b1c0,1190.0,3.6,80.0,3.6,6.0867020000000025,0.1748720595255447,34.5679012345679,1.0001333164125232
0.016594874,1.076308,1.0764797,31.47223754365438,29.11447,35.183762,13.34149167,29,b1c0,1190.0,3.6,80.0,3.6,6.069292000000001,0.19080301948987688,35.80246913580247,1.0001595268268932
0.016588323,1.0763638,1.0765879,31.50223401731998,29.157345,35.214653,13.425248333333489,30,b1c0,1190.0,3.6,80.0,3.6,6.057307999999999,0.18435045866841385,37.03703703703704,1.0002082009818614
0.016598366,1.0764072,1.0766202,31.52989696794298,29.315342,35.238499,13.425430000000052,31,b1c0,1190.0,3.6,80.0,3.6,5.923156999999996,0.19424254664428878,38.2716049382716,1.0001978805047012
0.016610153,1.0764409,1.0766256,31.50271882777274,29.312763,35.250328,13.426281666666425,32,b1c0,1190.0,3.6,80.0,3.6,5.937565000000003,0.20585242825054342,39.50617283950617,1.0001715839671275
0.016610581,1.0764945,1.0766001,31.475398297535182,29.344658,35.219761,13.341931666666644,33,b1c0,1190.0,3.6,80.0,3.6,5.875102999999999,0.20627399687084377,40.74074074074074,1.0000980961816341
0.016612098,1.0764641,1.0766319,31.54514113550136,29.416283,35.310757,13.42565999999982,34,b1c0,1190.0,3.6,80.0,3.6,5.894474000000002,0.20776820153672002,41.9753086419753,1.0001558807209643
