battery_id,cycle,voltage,temperature,capacity,soh,rul,capacity_loss,capacity_retention,voltage_drop_rate,temperature_change_rate,cycle_percentage,source_dataset,Cycle_Index,Test_Time(s)_max,Current(A)_mean,Current(A)_std,Current(A)_min,Current(A)_max,Voltage(V)_mean,Voltage(V)_std,Voltage(V)_min,Voltage(V)_max,Charge_Capacity(Ah)_max,Discharge_Capacity(Ah)_max,Charge_Energy(Wh)_max,Discharge_Energy(Wh)_max,Internal_Resistance(Ohm)_mean,Internal_Resistance(Ohm)_max,degradation_rate,Trip,Date,Route/Area,Weather,Battery Temperature (Start) [°C],Battery Temperature (End),Battery State of Charge (Start),Battery State of Charge (End),Unnamed: 8,Ambient Temperature (Start) [°C],Target Cabin Temperature,Distance [km],Duration [min],Unnamed: 13,Fan,Note,Average_Speed,temperature_rise,thermal_risk,IR,QC,QD,Tavg,Tmin,Tmax,chargetime,cycle_life,C1,Q1,C2,Temperature_Range,Normalized_IR,Cycle_Percentage,Charge_Discharge_Ratio,ambient_temperature,test_id,uid,filename,Capacity,Re,Rct,Resistance_Ratio,Normalized_Capacity,SOH_Estimate,Health_Class,type_-1,type_0,type_1,health_encoded
B0005,1.0,3.53278107,32.53689092,1.861976462,1.0,167.0,0.0001731509999998,99.99070155272211,0.0,0.0,0.5952380952380952,SOH_RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0005,2.0,3.542967988,32.64359509,1.851862026,0.994567903,166.0,0.0102875869999998,99.44754240324298,0.010186918,0.1067041700000004,1.1904761904761905,SOH_RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0005,3.0,3.55305613,32.52252562,1.84080783,0.988631096,165.0,0.021341783,98.8539168469059,0.0100881419999998,-0.1210694699999948,1.7857142857142856,SOH_RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0005,4.0,3.54584852,32.49208273,1.850058172,0.993599119,164.0,0.0120914409999999,99.35067295798429,-0.00720761,-0.0304428900000033,2.380952380952381,SOH_RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0005,5.0,3.544456056,32.36861158,1.849432496,0.993263091,163.0,0.012717117,99.3170732946902,-0.0013924639999998,-0.1234711500000003,2.976190476190476,SOH_RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0005,6.0,3.555518011,32.25124162,1.84113789,0.988808359,162.0,0.0210117229999999,98.87164152368246,0.0110619550000001,-0.1173699599999977,3.571428571428571,SOH_RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0005,7.0,3.55039174,32.36619211,1.840621408,0.988530975,161.0,0.0215282049999998,98.84390572864244,-0.0051262710000004,0.1149504899999982,4.166666666666666,SOH_RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0005,8.0,3.557436451,32.36748862,1.83116383,0.983451653,160.0,0.0309857829999999,98.3360207588218,0.0070447110000002,0.001296510000003,4.761904761904762,SOH_RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0005,9.0,3.553496939,32.33964837,1.839545835,0.987953324,159.0,0.0226037779999999,98.78614597655316,-0.003939512,-0.0278402500000041,5.357142857142857,SOH_RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0005,10.0,3.557887852,32.19118047,1.830019077,0.982836848,158.0,0.0321305359999999,98.27454594541216,0.0043909129999999,-0.1484678999999999,5.952380952380952,SOH_RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0005,11.0,3.556347544,32.06812818,1.830001571,0.982827446,157.0,0.0321480419999999,98.27360584909135,-0.001540308,-0.1230522899999968,6.547619047619048,SOH_RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0005,12.0,3.560471978,32.34766009,1.828990962,0.982284685,156.0,0.0331586509999999,98.2193347533134,0.0041244339999999,0.2795319099999958,7.142857142857142,SOH_RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
