battery_id,cycle,voltage,temperature,capacity,soh,rul,capacity_loss,capacity_retention,voltage_drop_rate,temperature_change_rate,cycle_percentage
B0005,1,3.53278107,32.53689092,1.861976462,1.0,167,0.00017315099999981598,99.99070155272213,0.0,0.0,0.5952380952380952
B0005,2,3.542967988,32.64359509,1.851862026,0.994567903,166,0.010287586999999876,99.44754240324298,0.010186918000000045,0.10670417000000043,1.1904761904761905
B0005,3,3.55305613,32.52252562,1.84080783,0.988631096,165,0.021341783000000003,98.8539168469059,0.010088141999999856,-0.1210694699999948,1.7857142857142856
B0005,4,3.54584852,32.49208273,1.850058172,0.993599119,164,0.012091440999999925,99.35067295798429,-0.007207610000000031,-0.03044289000000333,2.380952380952381
B0005,5,3.544456056,32.36861158,1.849432496,0.993263091,163,0.012717117,99.3170732946902,-0.0013924639999998156,-0.12347115000000031,2.976190476190476
B0005,6,3.555518011,32.25124162,1.84113789,0.988808359,162,0.021011722999999982,98.87164152368246,0.011061955000000179,-0.11736995999999777,3.571428571428571
B0005,7,3.55039174,32.36619211,1.840621408,0.988530975,161,0.021528204999999856,98.84390572864244,-0.005126271000000404,0.11495048999999824,4.166666666666666
B0005,8,3.557436451,32.36748862,1.83116383,0.983451653,160,0.03098578299999999,98.3360207588218,0.007044711000000259,0.0012965100000030816,4.761904761904762
B0005,9,3.553496939,32.33964837,1.839545835,0.987953324,159,0.022603777999999908,98.78614597655317,-0.003939512000000089,-0.02784025000000412,5.357142857142857
B0005,10,3.557887852,32.19118047,1.830019077,0.982836848,158,0.03213053599999993,98.27454594541217,0.004390912999999941,-0.14846789999999999,5.952380952380952
B0005,11,3.556347544,32.06812818,1.830001571,0.982827446,157,0.03214804199999999,98.27360584909135,-0.0015403080000000458,-0.12305228999999684,6.547619047619048
B0005,12,3.560471978,32.34766009,1.828990962,0.982284685,156,0.03315865099999993,98.2193347533134,0.004124433999999955,0.2795319099999958,7.142857142857142
B0005,13,3.560356688,32.28360689,1.819097595,0.976971317,155,0.043052018000000025,97.68804731373643,-0.00011528999999965706,-0.06405319999999648,7.738095238095238
B0005,14,3.566431186,32.01589605,1.818805531,0.976814459,154,0.04334408199999995,97.67236307451307,0.006074497999999817,-0.26771083999999945,8.333333333333332
B0005,15,3.56563495,32.00004598,1.817299293,0.976005513,153,0.04485031999999989,97.59147601852763,-0.0007962359999997837,-0.01585006999999905,8.928571428571429
B0005,16,3.559994137,31.93459208,1.796895091,0.965047157,152,0.06525452199999981,96.49574225698912,-0.0056408130000003,-0.0654539000000014,9.523809523809524
B0005,17,3.558613342,31.95811723,1.817333101,0.976023671,151,0.04481651199999992,97.59329155471033,-0.0013807949999997682,0.023525149999997552,10.119047619047619
B0005,18,3.559118904,31.96500865,1.808416084,0.971234665,150,0.053733528999999836,97.1144354554072,0.0005055619999998484,0.006891420000002313,10.714285714285714
B0005,19,3.564278369,31.87500939,1.808138168,0.971085406,149,0.05401144499999999,97.0995109832778,0.005159465000000196,-0.08999926000000258,11.30952380952381
B0005,20,3.563243576,32.24684641,1.852376797,0.994844368,148,0.009772815999999906,99.47518631522547,-0.0010347930000000893,0.3718370200000045,11.904761904761903
B0005,21,3.559804802,32.62250011,1.862149613,1.000092993,147,0.0,100.0,-0.0034387740000001443,0.37565369999999376,12.5
B0005,22,3.561487669,32.26410763,1.841547557,0.989028376,146,0.02060205599999998,98.89364120604631,0.0016828669999999768,-0.3583924799999991,13.095238095238097
B0005,23,3.564026339,31.94849105,1.840515964,0.988474345,145,0.021633648999999977,98.83824324055534,0.002538670000000298,-0.3156165799999968,13.690476190476192
B0005,24,3.559694165,31.85540777,1.819973236,0.977441592,144,0.042176376999999876,97.73507044194736,-0.0043321740000004105,-0.09308328000000188,14.285714285714285
B0005,25,3.557595502,31.79193254,1.840332339,0.988375727,143,0.021817273999999998,98.82838232504577,-0.002098662999999945,-0.0634752299999981,14.880952380952381
B0005,26,3.565914193,31.65359519,1.828725597,0.982142167,142,0.03342401599999989,98.20508428717753,0.008318690999999934,-0.13833735000000047,15.476190476190476
B0005,27,3.562842776,31.56095539,1.820124478,0.977522818,141,0.042025134999999825,97.7431923457377,-0.0030714169999996876,-0.0926398000000006,16.071428571428573
B0005,28,3.556833231,31.5655865,1.819330167,0.977096222,140,0.04281944599999998,97.70053675058816,-0.0060095449999999495,0.004631109999998273,16.666666666666664
B0005,29,3.568290947,31.50585068,1.808117474,0.971074292,139,0.054032139000000035,97.09839968696436,0.011457715999999785,-0.059735819999996664,17.261904761904763
B0005,30,3.566946127,31.50067989,1.809389854,0.971757641,138,0.05275975899999996,97.16672824612617,-0.0013448199999999133,-0.005170790000001091,17.857142857142858
B0005,31,3.555577852,31.9375352,1.859972232,0.998923601,137,0.0021773809999998672,99.88307164017331,-0.01136827500000015,0.43685530999999855,18.452380952380953
B0005,32,3.56624961,32.018959,1.833606941,0.98476376,136,0.028542671999999936,98.4672191857873,0.010671757999999976,0.08142380000000315,19.047619047619047
B0005,33,3.565151716,31.80299265,1.822825781,0.97897359,135,0.039323832,97.88825603885567,-0.0010978939999999326,-0.2159663500000022,19.642857142857142
B0005,34,3.564659069,31.39007083,1.812174814,0.973253342,134,0.0499747989999999,97.3162844354118,-0.0004926469999997352,-0.4129218200000011,20.238095238095237
B0005,35,3.563826424,31.32256717,1.80752671,0.970757014,133,0.054622902999999834,97.06667484617414,-0.0008326450000000207,-0.06750365999999985,20.833333333333336
B0005,36,3.557943411,31.92433445,1.807520342,0.970753594,132,0.054629271000000035,97.06633287579992,-0.005883013000000048,0.6017672800000007,21.428571428571427
B0005,37,3.560662529,31.61184504,1.785686904,0.959027647,131,0.07646270899999985,95.89384717177396,0.0027191179999999093,-0.3124894100000013,22.023809523809522
B0005,38,3.558624379,31.4469868,1.791061005,0.961913881,130,0.07108860799999994,96.18244380023401,-0.002038150000000183,-0.16485823999999738,22.61904761904762
B0005,39,3.558098767,31.27596798,1.781193151,0.956614215,129,0.08095646199999984,95.6525264439104,-0.0005256119999996756,-0.17101882000000046,23.214285714285715
B0005,40,3.555129331,31.52557286,1.775965654,0.953806716,128,0.08618395899999998,95.37180265225015,-0.002969436000000325,0.2496048799999997,23.809523809523807
B0005,41,3.562407505,32.01143948,1.770784907,0.951024325,127,0.09136470600000002,95.09358940000489,0.007278174000000082,0.48586661999999947,24.404761904761905
B0005,42,3.555763764,32.25414816,1.759556355,0.944993877,126,0.10259325799999996,94.49060068622961,-0.006643740999999981,0.2427086799999998,25.0
B0005,43,3.56081173,31.80684129,1.772959448,0.952192192,125,0.08919016499999999,95.21036524791846,0.005047966000000237,-0.44730686999999847,25.595238095238095
B0005,44,3.557100057,31.69204479,1.765608591,0.948244313,124,0.09654102200000003,94.81561409856492,-0.003711673000000193,-0.11479650000000063,26.190476190476193
B0005,45,3.54916717,31.4421047,1.75985743,0.945155573,123,0.10229218299999987,94.5067688285689,-0.007932886999999944,-0.24994008999999906,26.785714285714285
