type,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,Resistance_Ratio,Normalized_Capacity,SOH_Estimate,Health_Class
-1,4,47,0,1,00001.csv,0.9836894380416044,0.0545429502985307,0.1831297016940335,3.35753201269288,76.13550101969855,76.13550101969855,Degraded
0,24,47,1,2,00002.csv,0.9836894380416044,0.0545429502985307,0.1831297016940335,3.35753201269288,76.13550101969855,76.13550101969855,Degraded
1,4,47,2,3,00003.csv,0.9836894380416044,0.0545429502985307,0.1831297016940335,3.35753201269288,76.13550101969855,76.13550101969855,Degraded
0,24,47,3,4,00004.csv,0.9836894380416044,0.0518254183682199,0.1524927340360739,2.9424313172469185,76.13550101969855,76.13550101969855,Degraded
-1,4,47,4,5,00005.csv,0.9259900254814578,0.0518254183682199,0.1524927340360739,2.9424313172469185,71.66968740625275,71.66968740625275,Degraded
1,4,47,5,6,00006.csv,0.9259900254814578,0.0518254183682199,0.1524927340360739,2.9424313172469185,71.66968740625275,71.66968740625275,Degraded
-1,4,47,6,7,00007.csv,0.9195160437582474,0.0518254183682199,0.1524927340360739,2.9424313172469185,71.16861478818105,71.16861478818105,Degraded
1,4,47,7,8,00008.csv,0.9195160437582474,0.0518254183682199,0.1524927340360739,2.9424313172469185,71.16861478818105,71.16861478818105,Degraded
-1,4,47,8,9,00009.csv,0.9096921272923733,0.0518254183682199,0.1524927340360739,2.9424313172469185,70.40826424137222,70.40826424137222,Degraded
1,4,47,9,10,00010.csv,0.9096921272923733,0.0518254183682199,0.1524927340360739,2.9424313172469185,70.40826424137222,70.40826424137222,Degraded
-1,4,47,10,11,00011.csv,0.9030592472308504,0.0518254183682199,0.1524927340360739,2.9424313172469185,69.894893224913,69.894893224913,Critical
1,4,47,11,12,00012.csv,0.9030592472308504,0.0518254183682199,0.1524927340360739,2.9424313172469185,69.894893224913,69.894893224913,Critical
-1,4,47,12,13,00013.csv,0.8956218575430903,0.0518254183682199,0.1524927340360739,2.9424313172469185,69.31925484936667,69.31925484936667,Critical
0,24,47,13,14,00014.csv,0.8956218575430903,0.05792726,0.190949828169533,3.296372522531412,69.31925484936667,69.31925484936667,Critical
1,4,47,14,15,00015.csv,0.8956218575430903,0.05792726,0.190949828169533,3.296372522531412,69.31925484936667,69.31925484936667,Critical
0,24,47,15,16,00016.csv,0.8956218575430903,0.053659294,0.1616835571243591,3.0131510325938895,69.31925484936667,69.31925484936667,Critical
-1,4,47,16,17,00017.csv,0.8943941082799586,0.053659294,0.1616835571243591,3.0131510325938895,69.22422962935293,69.22422962935293,Critical
0,24,47,17,18,00018.csv,0.8943941082799586,0.057210315,0.1747570772581143,3.054642807999122,69.22422962935293,69.22422962935293,Critical
